tokenId,metadataURI,number,total
151,https://ipfs.pixura.io/ipfs/Qmc886fCZUReKdpa3hZuG3VPTCnDevyYSvNnZXjdr7ceXy,1,1
143,https://ipfs.pixura.io/ipfs/QmYJGrA3QLhjDJBGCtCxAdZmbj44pMMrHWxAh1vnLHUU3i,1,1
184,https://ipfs.pixura.io/ipfs/Qmf5R3hasWN6uPpirSTuDpL7Vz6T7eMyxBjjAweAZgQSjc,1,1
495,https://ipfs.pixura.io/ipfs/QmdqX8FdJjp4atBaGsJAUvYBrkJSmmVrrkYh5yiHWCmbSY,1,1
177,https://ipfs.pixura.io/ipfs/QmSB1P63jZgvPEnL6Kby4TMdp2QyXVDRoxfzSckoCjUADB,1,1
200,https://ipfs.pixura.io/ipfs/QmcmgqCkWhEzJXrVHc9vyfi5xQcq2y2dAU7eaVZRNMxxtT,1,1
201,https://ipfs.pixura.io/ipfs/QmVX8UwTgZELGWTeSqcjmDxMHvQCfXF2NqSAsMB3nwvYTa,1,1
202,https://ipfs.pixura.io/ipfs/QmXq88KriqJo2Zb5jPxhA5KoiQ5tUHxDhGtVQLUSkpoCYh,1,1
203,https://ipfs.pixura.io/ipfs/QmVdHkxzXJFReJiBRXh2af6MJLa7HZoSPyAouDZBA7bENh,1,1
205,https://ipfs.pixura.io/ipfs/QmfZC86hfyN2FZxWvME8qvzQLbJy2wFStpDdjTuX8uh9zB,1,1
206,https://ipfs.pixura.io/ipfs/QmaZZYSuc3tnoJbpsG2JXcjU5ar41ArQ99PNwmuLZPBgfc,1,1
207,https://ipfs.pixura.io/ipfs/QmdWM8JRzFE3R7zSngqTJvGmEu8QFBc8oWooGA8csT8kmF,1,1
209,https://ipfs.pixura.io/ipfs/QmSJf1KdLTnLfW4DPB32Uub3SgWFCt7DUXgFXkJt4UkUFS,1,1
211,https://ipfs.pixura.io/ipfs/QmR3QpQKqWK9zt73LVNhSCwmUVyoRWPoG2BZGPqBCTAnEa,1,1
212,https://ipfs.pixura.io/ipfs/QmeRiDmxSaTYKKMUVuA9ZU49Jv3MFtjGZdZYvJpyTrC86m,1,1
213,https://ipfs.pixura.io/ipfs/QmTpjpHnzLGwPuMiYUaSft13ndTFTUFt646daqSqNQpZPT,1,1
249,https://ipfs.pixura.io/ipfs/Qmd8oxDSjhwmnJdPdkCjDjU5g9UAigqvWSejjXKdYpsK5c,1,1
215,https://ipfs.pixura.io/ipfs/QmRxSb5Upn7nAkBUCuP3qpUh1xziRGJzpgX3CZthjPB4dv,1,1
216,https://ipfs.pixura.io/ipfs/QmRySAweJhhJZYcLeGzxjgBnTJoHVUba4pGJJQyU3tDxxd,1,1
217,https://ipfs.pixura.io/ipfs/QmStXoas7Y1RTSuEqCXzKsgrpWUAAPmM9YBRpR8uRXHxnL,1,1
220,https://ipfs.pixura.io/ipfs/Qmc8pWZWdseFMS4yvCfurmyxH1hNawaFTdF1J7tHXB8csD,1,1
